Rk,Player,Twitter
1,Fabricio Oberto,obricio7
2,Royce White,Highway_30
3,Cristiano Felício,IamFelicio
4,Rodions Kurucs,RODIONS1
5,Wesley Saunders,shyxxm
6,Jarred Vanderbilt,JVando
7,Hassan Whiteside,youngwhiteside
8,Robert Upshaw,UPSHAW50
9,Marcus Paige,marcuspaige5
10,Bruce Brown,BruceBrown11
11,Bismack Biyombo,bismackbiyombo
12,Cliff Alexander,CAlexander
13,Cory Higgins,chiggins11
14,Abdel Nader,AbdelNader2
15,Hamidou Diallo,hamidoudiallo
16,Melvin Ejim,MelvinEjim
17,De'Anthony Melton,DeAnthonyMelton
18,Andray Blatche,drayblatche
19,Terran Petteway,_TP5
20,Tyrone Wallace,TyWallace661
21,Svi Mykhailiuk,Sviat_10
22,T.J. McConnell,TJMcConnell
23,Marshall Plumlee,marshallplumlee
24,Keita Bates-Diop,KBD_33
25,Scottie Wilbekin,scottiew_5
26,Chimezie Metu,Chimezie_Metu
27,Jordan Williams,Jwilliams20
28,Alize Johnson,AlizeJohnson
29,Darington Hobson,ParkaySmooth
30,Lou Williams,TeamLou23
31,Aaron Harrison,AaronICE2
32,Tony Carr,Tone10Carr
33,Zaza Pachulia,zaza27
34,Christian Wood,Chriswood_5
35,Mindaugas Kuzminskas,MKuzminskas
36,Vince Edwards,VE_12
37,Jeremy Pargo,ImJustPargo
38,Boban Marjanović,BobanMarjanovic
39,Stefan Janković,StefanJ33
40,Jonathon Simmons,ThaRealJsimms
41,Dorian Finney-Smith,doefinney_10
42,Shake Milton,SniperShake
43,Tyler Honeycutt,thoneycutt23
44,Okaro White,owhite10
45,Arnoldas Kulboka,kulboka98
46,Craig Brackins,Cbrackins_33
47,Axel Toupane,toups_33
48,Danuel House Jr.,DanuelHouseJr
49,Ray Spalding,RaySpalding_4
50,Terrence Williams,TheRealTWill
51,Shannon Scott,3SScott
52,Nicolás Brussino,nicoobrussino
53,Kevin Hervey,kherv_25
54,Dennis Horner,DHorner31
55,Ryan Arcidiacono,RyArch15
56,Thomas Welsh,tomwelsh40
57,Jarrid Famous,MrFamous_CME
58,Bryn Forbes,BrynjForbes
59,George King,2bkings
60,Lester Hudson,Lester26Hudson
61,Fred VanVleet,FredVanVleet
62,Kostas Antetokounmpo,Kostas_ante13
63,Primož Brezec,Primozbrezec
64,Chris Hunter,biggame_hunter
65,Salah Mejri,50Mejri
66,Matt Costello,MattCostello10
67,Malik Newman,iammaliknewman
68,Kyle Collinsworth,bigrussia5
69,Jaylen Adams,10jadams
70,Egidijus Mockevičius,Egidijus55
71,J.P. Macura,jpmacura
72,Jon Brockman,MrJonBrockman
73,Terrico White,TerricoWhite5
74,Keith Hornsby,KHornsby4
75,Kendrick Perkins,KendrickPerkins
76,Treveon Graham,TreBall21
77,Jameel Warney,Fullcoursemeelz
78,Jared Terrell,TheJaredTerrell
79,Yogi Ferrell,YogiFerrell11
80,Ángel Delgado,AngelDelgado
81,Levi Randolph,LeviRandolph20
82,Sheldon Mac,sheldonmacc
83,Billy Preston,nolimitbill
